
At 17:23:57 9/25/97, lcsc3142.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 23:53:47 9/28/97, asahel-3.d.enteract.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win16; U).
At 05:56:48 9/29/97, eek.outnet.co.nz came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Update a; Windows 95).
At 08:05:32 9/29/97, host5-99-60-5.btinternet.com came here from http://av.yahoo.co.uk/bin/query_uk?p=babylon+5+mud&hc=0&hs=0 using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 08:14:59 9/29/97, host5-99-60-5.btinternet.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 12:38:39 9/29/97, lcsc3140.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 17:34:04 9/29/97, lcsc3138.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; PPC).
At 20:54:28 9/29/97, gatekeeper.polytech.ac.nz came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&stq=60&what=web&kl=XX&q=online-roleplaying&navig70.x=7&navig70.y=8 using Mozilla/2.0 (compatible; MSIE 3.01; AK; Windows 95).
At 11:35:14 9/30/97, cirt-150.unm.edu came here from http://miso.wwa.com/~eaton/index.html using Mozilla/4.01 [en] (WinNT; I).
At 14:05:28 9/30/97, cpcw11.uea.ac.uk came here from http://altavista.telia.com/cgi-bin/query?mss=gb%2Fsearch&pg=q&country=gb&what=web&kl=&q=mud+multi+user+cyberpunk+-jack using Mozilla/3.01 (X11; I; OSF1 V4.0 alpha).
At 14:45:25 10/01/97, rage.map.com came here from news://news.map.com/eaton-ya02408000R2409972108180001@news.wwa.com using Mozilla/4.01 [en] (Win95; I).
At 16:07:25 10/01/97, stargate.orion.boden.se came here from http://av.yahoo.com/bin/query?p=mud+science+fiction&hc=8&hs=19&S=G using Mozilla/3.01 (Win16; I) via Squid Cache version 1.0.9.
At 17:03:09 10/01/97, styx.captech.com came here from  using Mozilla/3.01Gold (X11; I; SunOS 5.5 sun4m).
At 17:29:12 10/01/97, lcsc3141.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; PPC).
At 23:03:00 10/01/97, shorelink.com came here from  using Mozilla/3.01GoldC-Caldera (X11; I; Linux 2.0.29 i486).
At 11:48:45 10/02/97, dialin144.picknowl.com.au came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 12:11:38 10/02/97, dialin144.picknowl.com.au came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 11:47:31 10/03/97, shell.ime.net came here from  using Lynx/2.7.1f libwww-FM/2.14.
At 20:53:24 10/03/97, dhcp243.net135.wfu.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; I).
At 23:06:14 10/03/97, shorelink.com came here from  using Mozilla/3.01GoldC-Caldera (X11; I; Linux 2.0.29 i486).
At 16:10:02 10/04/97, hou-tx55-04.ix.netcom.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.02 (Win16; U).
At 22:48:35 10/04/97, als-il4-54.ix.netcom.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 23:00:47 10/04/97, als-il4-54.ix.netcom.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 02:14:00 10/06/97, ppp1-50.dllstx.onramp.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (Win16; I).
At 14:57:04 10/06/97, h-206-222-240-210.netscape.com came here from  using Mozilla/4.03 [en] (WinNT; U).
At 15:16:27 10/06/97, 209.7.13.205 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 17:46:39 10/06/97, lcsc3142.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 20:57:49 10/06/97, huron.stanford.edu came here from  using BackRub/2.0 backrub@pcd.stanford.edu http://backrub.stanford.edu/.
At 03:18:04 10/07/97, dialup-05-24.netcomuk.co.uk came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=%22mud%22+%2B+%22cyberpunk%22&navig10.x=13&navig10.y=13 using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 12:58:11 10/07/97, dolphin-51.pinn.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; SK; Windows 95).
At 13:38:44 10/07/97, rage.map.com came here from  using Mozilla/4.01 [en] (Win95; I).
At 15:46:36 10/07/97, 209.7.13.205 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 12:51:10 10/08/97, 209.7.13.205 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 19:07:07 10/08/97, 218a.rund.res-hall.gac.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.02 [en] (Win95; I).
At 19:33:05 10/08/97, por-or15-23.ix.netcom.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.01 (Win95; I).
At 21:42:07 10/08/97, als-il6-04.ix.netcom.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 23:24:03 10/08/97, ww-pa02.proxy.aol.com came here from  using Mozilla/2.0 (compatible; MSIE 2.1; AOL 3.0; Mac_PPC).
At 23:26:41 10/08/97, ww-td62.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0; AOL 3.0; Windows 95.
At 00:39:35 10/09/97, ww-pa02.proxy.aol.com came here from  using Mozilla/2.0 (compatible; MSIE 2.1; AOL 3.0; Mac_PPC).
At 01:12:53 10/09/97, ottawa.oti.com came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=interactive+MOO using Mozilla/4.01 [en] (WinNT; U).
At 01:29:37 10/09/97, typhoon.cisco.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01 (X11; I; HP-UX A.09.05 9000/712).
At 12:36:40 10/09/97, lcsc3140.lcsc.edu came here from  using Mozilla/3.01-C-MACOS8 (Macintosh; I; 68K).
At 13:04:40 10/09/97, 158.83.201.60 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (WinNT; I).
At 13:09:23 10/09/97, lcsc3140.lcsc.edu came here from  using Mozilla/3.01-C-MACOS8 (Macintosh; I; 68K).
At 13:24:49 10/09/97, 158.83.201.60 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (WinNT; I).
At 17:22:18 10/09/97, lcsc3138.lcsc.edu came here from  using Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC).
At 17:22:25 10/09/97, lcsc3139.lcsc.edu came here from  using Mozilla/3.01-C-MACOS8 (Macintosh; I; 68K).
At 01:35:03 10/10/97, ip154.m8.nwlink.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.03Gold (Win95; U).
At 17:23:05 10/10/97, digi2-017.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 (Macintosh; U; PPC).
At 17:45:42 10/10/97, ip217.pm1.nwlink.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.03Gold (Win95; U).
At 21:19:32 10/10/97, shell9.ba.best.com came here from  using Lynx/2.7.1ac-0.49 libwww-FM/2.14.
At 02:55:25 10/11/97, hail.cisco.com came here from  using Mozilla/3.01 (X11; I; HP-UX B.10.01 9000/712).
At 02:55:59 10/11/97, hail.cisco.com came here from  using Mozilla/3.01 (X11; I; HP-UX B.10.01 9000/712).
At 16:11:50 10/11/97, ip41.pm2.nwlink.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.03Gold (Win95; U).
At 12:34:36 10/12/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 17:37:58 10/12/97, dialup18.bji.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0b2; Windows 95).
At 04:39:07 10/13/97, woger.shoal.net.au came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 13:01:04 10/13/97, caesium.chem.qmw.ac.uk came here from  using Mozilla/3.0 (Win16; I).
At 13:17:07 10/13/97, 204.245.222.234 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 14:05:46 10/13/97, ppp-33.ts-3.chi.idt.net came here from  using Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC).
At 14:13:24 10/13/97, 204.77.50.165 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; I).
At 14:20:58 10/13/97, 204.77.50.165 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; I).
At 15:09:44 10/13/97, 204.245.222.231 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 21:57:30 10/13/97, 204.162.98.90 came here from  using InfoSeek Sidewinder/0.9.
At 05:36:43 10/14/97, shell9.ba.best.com came here from  using Lynx/2.7.1ac-0.49 libwww-FM/2.14.
At 13:13:17 10/14/97, jrl-refpub-10.lib.uchicago.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (X11; I; Linux 1.2.13 i586).
At 23:17:47 10/15/97, van-as-09b09.direct.ca came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 19:07:47 10/16/97, p110-106-w.tenaya.reshall.calpoly.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 20:58:45 10/17/97, morph.ripco.com came here from  using Mozilla/3.01Gold (Win95; I).
At 22:14:14 10/17/97, morph.ripco.com came here from  using Mozilla/3.01Gold (Win95; I).
At 19:49:52 10/18/97, morph.ripco.com came here from  using Mozilla/3.01Gold (Win95; I).
At 22:02:27 10/18/97, morph.ripco.com came here from  using Mozilla/3.01Gold (Win95; I).
At 04:14:10 10/19/97, quake.cisco.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (X11; I; HP-UX A.09.05 9000/712).
At 16:12:08 10/19/97, 158.83.15.38 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (WinNT; I).
At 02:44:30 10/20/97, doo.wco.com came here from http://www.otaking.org/~percy/index.html using Mozilla/4.03 [en] (Win95; I).
At 15:12:05 10/20/97, 209.7.13.205 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 04:22:55 10/22/97, doo.wco.com came here from http://www.otaking.org/~percy/ using Mozilla/4.03 [en] (Win95; I).
At 04:08:30 10/23/97, alpha2.mdx.ac.uk came here from http://altavista.telia.com/cgi-bin/query?mss=gb%2Fsearch&text=y&pg=q&country=ie&what=web&kl=en&q=cyberpunk+online+moo+mud+rpg&search.x=44&search.y=9 using Mozilla/3.0b8Gold (X11; I; OpenVMS V7.1     AlphaServer 2100 5/300).
At 04:08:42 10/23/97, alpha2.mdx.ac.uk came here from http://altavista.telia.com/cgi-bin/query?mss=gb%2Fsearch&text=y&pg=q&country=ie&what=web&kl=en&q=cyberpunk+online+moo+mud+rpg&search.x=44&search.y=9 using Mozilla/3.0b8Gold (X11; I; OpenVMS V7.1     AlphaServer 2100 5/300).
At 18:12:18 10/23/97, 206.251.119.10 came here from http://miso.wwa.com/~eaton// using Mozilla/3.0 (Win95; I).
At 15:57:14 10/24/97, 15.chicago-06.il.dial-access.att.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 22:12:34 10/24/97, 001.usr4.dial.sr.metro.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.03Gold (Macintosh; I; 68K).
At 00:15:23 10/25/97, frontier.acer.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0b2; Windows 95).
At 00:19:19 10/25/97, frontier.acer.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0b2; Windows 95).
At 15:31:39 10/25/97, 195.122.196.105 came here from http://av.yahoo.com/bin/query?p=aliens%26cyberpunk&hc=0&hs=0 using Mozilla/2.0 (compatible; MSIE 3.01; AK; Update B; Windows 95).
At 03:51:09 10/26/97, als-il4-24.ix.netcom.com came here from  using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 16:32:35 10/27/97, ouzo.me.uiuc.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (X11; I; SunOS 5.6 sun4m).
At 17:33:23 10/27/97, 204.248.29.17 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 20:46:24 10/27/97, gppp23.buffnet.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; Update a; Windows 95).
At 04:38:22 10/28/97, 150.252.33.42 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (WinNT; I).
At 17:42:41 10/28/97, dialup182.518.capital.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 17:44:56 10/28/97, dialup182.518.capital.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 18:01:45 10/28/97, 166.80.28.223 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I).
At 05:06:00 10/29/97, flood.cisco.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; U).
At 06:20:53 10/29/97, frontier.acer.com came here from  using Mozilla/3.01Gold (Win95; I).
At 15:23:17 10/29/97, 137.36.12.117 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win95; I).
At 07:33:30 10/30/97, myrtle.services.adelaide.edu.au came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01a (Macintosh; I; PPC).
At 16:11:33 10/30/97, digital-163.horizons.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win95; U).
At 18:30:01 10/30/97, 204.157.183.50 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 3.1).
At 20:15:06 10/30/97, 207.35.5.233 came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=aliens+%2B+roleplay&search.x=58&search.y=11 using Mozilla/3.01 [fr] (Win95; I).
At 13:38:48 11/01/97, s108-3.sxu.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (WinNT; I).
At 18:22:12 11/01/97, 206.168.227.34 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (Win95; I).
At 19:13:15 11/01/97, als-il6-03.ix.netcom.com came here from  using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 12:59:52 11/02/97, 142.109.100.124 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.03Gold (Win95; I).
At 18:51:25 11/02/97, lubbers03.lab.hope.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I).
At 15:22:19 11/03/97, st-209-7-8-194.oprf.w-cook.k12.il.us came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 15:35:08 11/03/97, bbs-29.galactica.it came here from  using Mozilla/3.0 (Win95; I).
At 20:15:39 11/03/97, ara-il10-34.ix.netcom.com came here from  using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 15:05:42 11/04/97, st-209-7-13-205.oprf.w-cook.k12.il.us came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; U).
At 01:40:50 11/05/97, ppp-207-215-87-88.scrm01.pacbell.net came here from  using Crescent Internet ToolPak HTTP OLE Control v.1.0.
At 09:46:17 11/05/97, pc2934.princeton.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I).
At 15:36:30 11/05/97, st-209-7-13-205.oprf.w-cook.k12.il.us came here from  using Mozilla/4.03 [en] (Win95; I).
At 18:47:39 11/07/97, man-011.dialup.zetnet.co.uk came here from http://miso.wwa.com/~eaton/ using ANT Fresco/1.63 (RISC OS 3.60).
At 23:20:23 11/07/97, vincent.ec.rhno.columbia.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I ;Nav).
At 03:57:37 11/08/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 04:08:36 11/08/97, prai-cas1-cs-9.dial.mhtc.net came here from  using Mozilla/3.0 (Win16; U).
At 22:21:08 11/08/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 05:11:48 11/09/97, flood.cisco.com came here from  using Mozilla/3.01 (Win95; U).
At 06:19:32 11/09/97, anc-p44-32.alaska.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC).
At 16:36:57 11/09/97, max1-78.eatel.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 18:29:17 11/10/97, ww-tl03.proxy.aol.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; AOL 3.0; Windows 95).
At 18:50:51 11/10/97, 192.220.148.2 came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; Windows 3.1).
At 19:41:00 11/10/97, 1cust77.max20.boston.ma.ms.uu.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 04:53:10 11/11/97, taz.northernlight.com came here from  using Gulliver/1.2.
At 09:28:39 11/11/97, lassen19.psln.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win16; I).
At 19:12:06 11/11/97, poolx2-008.wwa.com came here from  using Mozilla/4.03 [en] (Win95; I ;Nav).
At 19:35:52 11/11/97, nrf-as1s18.erols.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I).
At 16:26:44 11/12/97, wt-d2-238.wt.net came here from  using Mozilla/4.0 (compatible; MSIE 4.0; MSIECrawler; Windows 95).
At 01:47:11 11/14/97, 204.162.98.90 came here from  using InfoSeek Sidewinder/0.9.
At 01:47:24 11/14/97, grundskolan-43.overtornea.se came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01Gold [sv] (Win95; I).
At 12:31:59 11/14/97, 158.83.201.46 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (WinNT; I).
At 15:36:16 11/15/97, dialup041.qnsbny1.capital.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 18:28:29 11/16/97, lassen12.psln.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win16; I).
At 00:09:23 11/17/97, prai-cas1-cs-1.dial.mhtc.net came here from  using Mozilla/3.0 (Win16; U).
At 21:52:32 11/17/97, pool1-060.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win95; U).
At 23:18:50 11/17/97, pc-23726.on.rogers.wave.ca came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0 (Win95; U).
At 11:49:22 11/18/97, 171-75-209.ipt.aol.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.02 (Win16; I).
At 12:57:56 11/18/97, dhcp-29-28.rhodes.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; U).
At 18:53:31 11/18/97, pc-23726.on.rogers.wave.ca came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0 (Win95; U).
At 18:22:08 11/19/97, gatekeeper.genencor.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 14:35:27 11/20/97, newton.uor.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01 (Macintosh; I; PPC).
At 16:36:46 11/20/97, maltliquor.pimpz.org came here from http://miso.wwa.com/~eaton// using Mozilla/4.03 [en] (Win95; I).
At 15:15:30 11/21/97, ww-tq02.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 95).
At 00:46:50 11/22/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 01:40:31 11/22/97, 204.162.98.90 came here from  using InfoSeek Sidewinder/0.9.
At 02:11:56 11/22/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 07:18:58 11/22/97, slip129-37-172-98.pq.ca.ibm.net came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=cyberpunk+aliens+conversion using Mozilla/2.02E (OS/2; I).
At 11:07:55 11/22/97, wilbur-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 17:04:32 11/22/97, chi-il11-15.ix.netcom.com came here from  using Mozilla/3.0-C-AICK1-2 (Macintosh; U; PPC).
At 01:18:46 11/23/97, ppp56.wh.hb.cn came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; I).
At 23:05:12 11/23/97, 203-87-130.ipt.aol.com came here from  using Mozilla/3.01Gold (Win95; I).
At 03:38:50 11/24/97, cyber1c22d36.cal.shaw.wave.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01-C-MACOS8 (Macintosh; I; PPC).
At 10:13:52 11/25/97, 199.247.10.42 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 19:38:59 11/25/97, fts4p27-bfs.scri.fsu.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0 (Win95; I).
At 16:44:15 11/26/97, m02.arts.ubc.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.02 (Macintosh; I; 68K).
At 06:42:05 11/27/97, shelly.general.dialup.uwa.edu.au came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Macintosh; I; PPC).
At 01:29:53 11/28/97, wilbur-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 04:41:46 11/28/97, proxy.xtra.co.nz came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-XTRA  (Win95; I).
At 05:16:25 11/28/97, dialup166.express-news.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 17:18:27 11/28/97, pm303-21.dialip.mich.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; SK; Windows 95).
At 21:19:49 11/28/97, d184.pm12.sonic.net came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=mud+cyberpunk+game&navig10.x=3&navig10.y=11 using Mozilla/3.01Gold (Win95; I).
At 03:38:50 11/29/97, vmaxppp58.cybersurf.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.03; Windows 3.1).
At 06:00:09 11/29/97, wilbur-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 08:47:52 11/29/97, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 19:43:01 11/29/97, dialin102.milton.globalserve.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01Gold (Win95; U).
At 20:18:26 11/29/97, dialup92-3-16.swipnet.se came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=aliens+MUD&search.x=24&search.y=7 using Mozilla/2.02 [sv] (Win16; I).
At 20:20:54 11/29/97, dialup92-3-16.swipnet.se came here from http://www.altavista.digital.com/cgi-bin/query?pg=q&what=web&kl=XX&q=aliens+MUD&search.x=24&search.y=7 using Mozilla/2.02 [sv] (Win16; I).
At 23:22:21 11/29/97, 207.211.206.191 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; SK; Windows 95).
